지역,날짜,시간,기온,풍속,습도,강수량,체감온도,온도지수,forecast_base_time,forecast_target_time,collected_at
연천,4/1,00,9.0,1.2,90.0,0.0,8.9,5.9,2026-03-31 23:00:00,2026-04-01 00:00:00,2026-04-01 17:36:21
연천,4/1,01,8.0,0.2,85.0,0.0,10.3,7.3,2026-03-31 23:00:00,2026-04-01 01:00:00,2026-04-01 17:36:21
연천,4/1,02,8.0,1.0,85.0,0.0,8.0,5.0,2026-03-31 23:00:00,2026-04-01 02:00:00,2026-04-01 17:36:21
연천,4/1,03,7.0,0.4,90.0,0.0,8.4,5.4,2026-03-31 23:00:00,2026-04-01 03:00:00,2026-04-01 17:36:21
연천,4/1,04,7.0,0.2,95.0,0.0,9.3,6.3,2026-03-31 23:00:00,2026-04-01 04:00:00,2026-04-01 17:36:21
연천,4/1,05,6.0,0.4,95.0,0.0,7.3,4.3,2026-03-31 23:00:00,2026-04-01 05:00:00,2026-04-01 17:36:21
연천,4/1,06,6.0,0.4,95.0,0.0,7.3,4.3,2026-03-31 23:00:00,2026-04-01 06:00:00,2026-04-01 17:36:21
연천,4/1,07,7.0,0.2,100.0,0.0,9.3,6.3,2026-03-31 23:00:00,2026-04-01 07:00:00,2026-04-01 17:36:21
연천,4/1,08,9.0,0.6,95.0,0.0,9.9,6.9,2026-03-31 23:00:00,2026-04-01 08:00:00,2026-04-01 17:36:21
연천,4/1,09,11.0,0.2,90.0,0.0,13.3,10.3,2026-03-31 23:00:00,2026-04-01 09:00:00,2026-04-01 17:36:21
연천,4/1,10,13.0,0.8,80.0,0.0,13.8,10.8,2026-03-31 23:00:00,2026-04-01 10:00:00,2026-04-01 17:36:21
연천,4/1,11,15.0,1.2,70.0,0.0,15.6,12.6,2026-03-31 23:00:00,2026-04-01 11:00:00,2026-04-01 17:36:21
연천,4/1,12,16.0,1.7,45.0,0.0,16.3,13.3,2026-03-31 23:00:00,2026-04-01 12:00:00,2026-04-01 17:36:21
연천,4/1,13,17.0,1.8,45.0,0.0,17.4,14.4,2026-03-31 23:00:00,2026-04-01 13:00:00,2026-04-01 17:36:21
연천,4/1,14,17.0,3.3,40.0,0.0,16.8,13.8,2026-03-31 23:00:00,2026-04-01 14:00:00,2026-04-01 17:36:21
연천,4/1,15,17.0,3.7,40.0,0.0,16.7,13.7,2026-03-31 23:00:00,2026-04-01 15:00:00,2026-04-01 17:36:21
연천,4/1,16,17.0,2.5,35.0,0.0,17.1,14.1,2026-03-31 23:00:00,2026-04-01 16:00:00,2026-04-01 17:36:21
연천,4/1,17,17.0,1.9,40.0,0.0,17.4,14.4,2026-03-31 23:00:00,2026-04-01 17:00:00,2026-04-01 17:36:21
연천,4/1,18,16.0,0.9,45.0,0.0,17.0,14.0,2026-03-31 23:00:00,2026-04-01 18:00:00,2026-04-01 17:36:21
연천,4/1,19,14.0,0.1,50.0,0.0,16.9,13.9,2026-03-31 23:00:00,2026-04-01 19:00:00,2026-04-01 17:36:21
연천,4/1,20,12.0,0.8,50.0,0.0,12.7,9.7,2026-03-31 23:00:00,2026-04-01 20:00:00,2026-04-01 17:36:21
연천,4/1,21,11.0,1.0,55.0,0.0,11.4,8.4,2026-03-31 23:00:00,2026-04-01 21:00:00,2026-04-01 17:36:21
연천,4/1,22,9.0,0.8,60.0,0.0,9.5,6.5,2026-03-31 23:00:00,2026-04-01 22:00:00,2026-04-01 17:36:21
연천,4/1,23,8.0,0.5,65.0,0.0,9.1,6.1,2026-03-31 23:00:00,2026-04-01 23:00:00,2026-04-01 17:36:21
연천,4/2,00,7.0,0.2,70.0,0.0,9.3,6.3,2026-03-31 23:00:00,2026-04-02 00:00:00,2026-04-01 17:36:21
연천,4/2,01,6.0,0.5,75.0,0.0,7.0,4.0,2026-03-31 23:00:00,2026-04-02 01:00:00,2026-04-01 17:36:21
연천,4/2,02,5.0,1.0,80.0,0.0,4.7,1.7,2026-03-31 23:00:00,2026-04-02 02:00:00,2026-04-01 17:36:21
연천,4/2,03,4.0,0.5,85.0,0.0,4.9,1.9,2026-03-31 23:00:00,2026-04-02 03:00:00,2026-04-01 17:36:21
연천,4/2,04,3.0,0.8,90.0,0.0,2.9,-0.1,2026-03-31 23:00:00,2026-04-02 04:00:00,2026-04-01 17:36:21
연천,4/2,05,3.0,0.2,90.0,0.0,5.3,2.3,2026-03-31 23:00:00,2026-04-02 05:00:00,2026-04-01 17:36:21
연천,4/2,06,2.0,0.7,90.0,0.0,2.1,-0.9,2026-03-31 23:00:00,2026-04-02 06:00:00,2026-04-01 17:36:21
연천,4/2,07,2.0,0.5,95.0,0.0,2.7,-0.3,2026-03-31 23:00:00,2026-04-02 07:00:00,2026-04-01 17:36:21
연천,4/2,08,6.0,0.2,85.0,0.0,8.3,5.3,2026-03-31 23:00:00,2026-04-02 08:00:00,2026-04-01 17:36:21
연천,4/2,09,9.0,1.0,70.0,0.0,9.1,6.1,2026-03-31 23:00:00,2026-04-02 09:00:00,2026-04-01 17:36:21
연천,4/2,10,13.0,0.1,50.0,0.0,15.9,12.9,2026-03-31 23:00:00,2026-04-02 10:00:00,2026-04-01 17:36:21
연천,4/2,11,15.0,0.1,35.0,0.0,17.8,14.8,2026-03-31 23:00:00,2026-04-02 11:00:00,2026-04-01 17:36:21
연천,4/2,12,17.0,0.9,30.0,0.0,18.1,15.1,2026-03-31 23:00:00,2026-04-02 12:00:00,2026-04-01 17:36:21
