TM_FC,TM_EF,TM_IN,STN,REG_ID,WRN,LVL,CMD,GRD,CNT,REGION_NAME,alert_type,alert_level,cmd_label,TTL
202603310000,202603310000,202603302306,184,L1090600,W,2,1,00,4,제주도서부,강풍,주의보,발표,강풍 주의보
202603310000,202603310000,202603302306,184,L1090500,W,2,1,00,4,제주도산지,강풍,주의보,발표,강풍 주의보
202603310000,202603310000,202603302343,184,L1090900,W,1,3,00,4,제주도남부,강풍,예비,해제,강풍 예비
202603310000,202603310200,202603302356,159,S1132110,V,2,1,00,4,동해남부남쪽안쪽먼바다,풍랑,주의보,발표,풍랑 주의보
202603310000,202603310200,202603302356,159,S1132120,V,2,1,00,4,동해남부남쪽바깥먼바다,풍랑,주의보,발표,풍랑 주의보
202603310000,202603310200,202603302343,184,L1091200,W,2,1,00,4,제주도남부중산간,강풍,주의보,발표,강풍 주의보
202603310000,202603310200,202603302343,184,L1090700,W,2,1,00,4,제주도북부,강풍,주의보,발표,강풍 주의보
202603310000,202603310200,202603302343,184,L1091100,W,2,1,00,4,제주도북부중산간,강풍,주의보,발표,강풍 주의보
202603310100,202603310100,202603310040,159,L1082700,W,2,1,00,4,부산서부,강풍,주의보,발표,강풍 주의보
202603310100,202603310100,202603310040,159,L1082600,W,2,1,00,4,부산중부,강풍,주의보,발표,강풍 주의보
202603310100,202603310100,202603310040,159,L1082500,W,2,1,00,4,부산동부,강풍,주의보,발표,강풍 주의보
202603310100,202603310100,202603310040,159,L1082800,W,2,1,00,4,울산동부,강풍,주의보,발표,강풍 주의보
202603310100,202603310100,202603310040,159,L1082900,W,2,1,00,4,울산서부,강풍,주의보,발표,강풍 주의보
202603310100,202603310200,202603310039,159,S1311100,V,2,1,00,4,부산앞바다,풍랑,주의보,발표,풍랑 주의보
202603310100,202603310200,202603310039,159,S1311400,V,2,1,00,4,거제시동부앞바다,풍랑,주의보,발표,풍랑 주의보
202603310100,202603310200,202603310039,159,S1131100,V,2,1,00,4,울산앞바다,풍랑,주의보,발표,풍랑 주의보
202603310400,202603310400,202603310319,143,L1072500,W,2,1,00,4,경주시,강풍,주의보,발표,강풍 주의보
202603310400,202603310400,202603310319,143,L1072100,W,2,1,00,4,울릉도.독도,강풍,주의보,발표,강풍 주의보
202603310400,202603310400,202603310301,156,L1051600,W,2,3,00,4,완도군,강풍,주의보,해제,강풍 주의보
202603310400,202603310400,202603310319,143,L1072400,W,2,1,00,4,포항시,강풍,주의보,발표,강풍 주의보
202603310400,202603310400,202603310319,143,L1072200,W,2,1,00,4,영덕군,강풍,주의보,발표,강풍 주의보
202603310400,202603310400,202603310319,143,L1072310,W,2,1,00,4,울진군평지,강풍,주의보,발표,강풍 주의보
202603310400,202603310400,202603310301,156,L1052300,W,2,3,00,4,진도군,강풍,주의보,해제,강풍 주의보
202603310400,202603310400,202603310301,156,L1051000,W,2,3,00,4,여수시,강풍,주의보,해제,강풍 주의보
202603310400,202603310600,202603310303,143,S1131300,V,2,1,00,4,경북북부앞바다,풍랑,주의보,발표,풍랑 주의보
202603310400,202603310600,202603310303,143,S1131200,V,2,1,00,4,경북남부앞바다,풍랑,주의보,발표,풍랑 주의보
202603310400,202603310600,202603310304,143,S1132210,V,2,1,00,4,동해남부북쪽안쪽먼바다,풍랑,주의보,발표,풍랑 주의보
202603310400,202603310600,202603310304,143,S1132220,V,2,1,00,4,동해남부북쪽바깥먼바다,풍랑,주의보,발표,풍랑 주의보
202603310400,202603310600,202603310307,105,S1152020,V,2,1,00,4,동해중부바깥먼바다,풍랑,주의보,발표,풍랑 주의보
202603310400,202603310600,202603310307,105,S1152010,V,2,1,00,4,동해중부안쪽먼바다,풍랑,주의보,발표,풍랑 주의보
202603310600,202603310600,202603310537,105,S1151300,V,1,3,00,4,강원남부앞바다,풍랑,예비,해제,풍랑 예비
202603310600,202603310700,202603310600,156,L1052500,W,2,3,00,4,흑산도.홍도,강풍,주의보,해제,강풍 주의보
202603310600,202603310800,202603310559,156,S1232210,V,2,3,00,4,서해남부남쪽안쪽먼바다,풍랑,주의보,해제,풍랑 주의보
202603310600,202603310800,202603310559,156,S1232220,V,2,3,00,4,서해남부남쪽바깥먼바다,풍랑,주의보,해제,풍랑 주의보
202603310600,202603310800,202603310559,156,S1232110,V,2,3,00,4,서해남부북쪽안쪽먼바다,풍랑,주의보,해제,풍랑 주의보
202603310600,202603310800,202603310559,156,S1232120,V,2,3,00,4,서해남부북쪽바깥먼바다,풍랑,주의보,해제,풍랑 주의보
202603310700,202603310700,202603310656,143,L1072100,W,3,6,00,4,울릉도.독도,강풍,경보,변경,강풍 경보
202603310700,202603310700,202603310600,184,L1090700,W,2,3,00,4,제주도북부,강풍,주의보,해제,강풍 주의보
202603310700,202603310700,202603310600,184,L1091000,W,2,3,00,4,추자도,강풍,주의보,해제,강풍 주의보
202603310700,202603310700,202603310608,156,L1052600,W,2,3,00,4,거문도.초도,강풍,주의보,해제,강풍 주의보
